URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
https://stats.ncaa.org/team/625/stats/16641,San Jose St.,Mountain West,2,,,0,15,5,25,1,2,5,,
https://stats.ncaa.org/team/627/stats/16641,Santa Clara,WCC,2,6,3,15,28,13,20,1,1,8,1,2
https://stats.ncaa.org/team/626/stats/16641,Seattle U,WAC,2,3,2,8,25,9,22,,,5,1,1
https://stats.ncaa.org/team/629/stats/16641,Seton Hall,Big East,2,2,2,6,20,12,15,,3,8,1,1
https://stats.ncaa.org/team/630/stats/16641,SFA,Southland,1,1,1,3,10,3,7,,1,2,,
https://stats.ncaa.org/team/631/stats/16641,Siena,MAAC,2,1,1,3,24,13,7,,1,7,,
https://stats.ncaa.org/team/1356/stats/16641,SIUE,OVC,1,1,2,4,9,4,12,,,3,,
https://stats.ncaa.org/team/635/stats/16641,SMU,ACC,2,9,6,24,57,25,16,,1,19,,
https://stats.ncaa.org/team/639/stats/16641,South Alabama,Sun Belt,1,,,0,9,6,17,,3,1,,
https://stats.ncaa.org/team/646/stats/16641,South Carolina,SEC,1,5,4,14,18,9,10,,,6,,
https://stats.ncaa.org/team/648/stats/16641,South Carolina St.,DI Independent,1,,,0,2,1,8,,2,,,
https://stats.ncaa.org/team/647/stats/16641,South Dakota,Summit League,2,6,4,16,35,19,15,,,13,,
https://stats.ncaa.org/team/650/stats/16641,South Dakota St.,Summit League,1,1,,2,13,5,6,,,6,,
https://stats.ncaa.org/team/649/stats/16641,South Fla.,AAC,2,5,5,15,30,12,23,,1,14,,
https://stats.ncaa.org/team/651/stats/16641,Southeast Mo. St.,OVC,1,1,,2,6,1,15,,1,2,,
https://stats.ncaa.org/team/654/stats/16641,Southeastern La.,Southland,1,,,0,8,4,7,,,2,,
https://stats.ncaa.org/team/655/stats/16641,Southern California,Big Ten,2,3,4,10,30,10,14,,1,16,,1
https://stats.ncaa.org/team/657/stats/16641,Southern Ill.,MVC,2,2,2,6,31,17,18,,1,14,,
https://stats.ncaa.org/team/659/stats/16641,Southern Ind.,OVC,1,,,0,11,4,12,,2,1,,
https://stats.ncaa.org/team/661/stats/16641,Southern Miss.,Sun Belt,1,5,4,14,43,20,9,,1,9,,1
